oligo	actualcounts	mappedcounts
UTR2.oligo162	1325	1325
UTR2.oligo212	942	942
UTR28.oligo38	1582	1582
UTR27.oligo293	1196	1196
UTR4.oligo66	685	685
UTR2.oligo32	1540	1540
UTR22.oligo124	1002	1002
UTR35.oligo195	989	989
UTR24.oligo94	1404	1404
UTR29.oligo203	1561	1561
UTR14.oligo194	999	999
UTR3.oligo299	1168	1168
UTR32.oligo193	301	301
UTR35.oligo307	1369	1369
UTR26.oligo29	1753	1753
UTR30.oligo417	1522	1522
UTR29.oligo252	1290	1290
UTR14.oligo68	998	998
UTR29.oligo37	1942	1942
UTR24.oligo377	1771	1771
UTR31.oligo149	1007	1007
UTR17.oligo46	722	722
UTR21.oligo128	1051	1051
UTR11.oligo50	567	567
UTR12.oligo33	806	806
UTR10.oligo288	1502	1502
UTR19.oligo82	1436	1436
UTR15.oligo80	1077	1077
UTR10.oligo215	1770	1770
UTR2.oligo185	1802	1802
UTR25.oligo403	1750	1750
UTR10.oligo265	292	292
UTR30.oligo477	1553	1553
UTR12.oligo280	1584	1584
UTR2.oligo306	1672	1672
UTR29.oligo166	1036	1036
UTR23.oligo112	1598	1598
UTR27.oligo38	467	467
UTR30.oligo336	1594	1594
UTR14.oligo115	1747	1747
UTR2.oligo11	1674	1674
UTR2.oligo252	1902	1902
UTR5.oligo247	1788	1788
UTR21.oligo96	1736	1736
UTR30.oligo29	1474	1474
UTR31.oligo255	1827	1827
UTR23.oligo114	1757	1757
UTR28.oligo67	1822	1822
UTR31.oligo96	1652	1652
UTR5.oligo21	1389	1389
UTR24.oligo142	1136	1136
UTR28.oligo84	1258	1258
UTR4.oligo145	1758	1758
UTR20.oligo35	1811	1811
UTR31.oligo214	923	923
UTR4.oligo213	1802	1802
UTR10.oligo218	1960	1960
UTR26.oligo111	1360	1360
UTR2.oligo337	764	764
UTR15.oligo2	1615	1615
UTR17.oligo11	583	583
UTR27.oligo298	1114	1114
UTR4.oligo52	1455	1455
UTR35.oligo127	1091	1091
UTR30.oligo447	1273	1273
UTR11.oligo117	1313	1313
UTR32.oligo116	1780	1780
UTR35.oligo313	1591	1591
UTR19.oligo93	425	425
UTR25.oligo325	1863	1863
UTR11.oligo360	298	298
UTR22.oligo101	1445	1445
UTR11.oligo40	1514	1514
UTR29.oligo288	1841	1841
UTR27.oligo401	1500	1500
UTR7.oligo122	1610	1610
UTR35.oligo13	1078	1078
UTR27.oligo269	1361	1361
UTR19.oligo76	1290	1290
UTR4.oligo235	297	297
UTR6.oligo399	930	930
UTR31.oligo232	1727	1727
UTR30.oligo48	974	974
UTR13.oligo139	1010	1010
UTR11.oligo250	943	943
UTR12.oligo119	1760	1760
UTR2.oligo84	1944	1944
UTR28.oligo79	698	698
UTR24.oligo296	1724	1724
UTR9.oligo58	1192	1192
UTR33.oligo48	1723	1723
UTR13.oligo128	1941	1941
UTR18.oligo281	1554	1554
UTR2.oligo411	1400	1400
UTR6.oligo312	1506	1506
UTR3.oligo198	1805	1805
UTR24.oligo209	527	527
UTR33.oligo123	1701	1701
UTR25.oligo51	632	632
UTR24.oligo285	340	340
UTR2.oligo191	1745	1745
UTR13.oligo238	1617	1617
UTR4.oligo26	1485	1485
UTR30.oligo81	1197	1197
UTR7.oligo33	730	730
UTR31.oligo178	1934	1934
UTR29.oligo260	944	944
UTR22.oligo82	751	751
UTR25.oligo385	778	778
UTR11.oligo413	759	759
UTR29.oligo167	1147	1147
UTR6.oligo234	1234	1234
UTR10.oligo177	1177	1177
UTR7.oligo132	1578	1578
UTR4.oligo209	843	843
UTR23.oligo35	1884	1884
UTR35.oligo247	890	890
UTR29.oligo111	1049	1049
UTR10.oligo46	1184	1184
UTR31.oligo76	1436	1436
UTR1.oligo48	1549	1549
UTR21.oligo47	1900	1900
UTR2.oligo167	810	810
UTR22.oligo22	1313	1313
UTR6.oligo16	1282	1282
UTR31.oligo196	886	886
UTR27.oligo8	1540	1540
UTR5.oligo315	1037	1037
UTR12.oligo204	549	549
UTR24.oligo27	1844	1844
UTR13.oligo16	1730	1730
UTR17.oligo183	1929	1929
UTR2.oligo125	416	416
UTR10.oligo114	1540	1540
UTR15.oligo259	1123	1123
UTR29.oligo64	1799	1799
UTR25.oligo277	1117	1117
UTR34.oligo47	1749	1749
UTR6.oligo293	1593	1593
UTR8.oligo31	414	414
UTR34.oligo237	1736	1736
UTR18.oligo18	481	481
UTR17.oligo26	1748	1748
UTR16.oligo115	1901	1901
UTR31.oligo236	1749	1749
UTR11.oligo102	1258	1258
UTR5.oligo48	1077	1077
UTR5.oligo309	766	766
UTR6.oligo250	1470	1470
UTR24.oligo198	1308	1308
UTR3.oligo400	1090	1090
UTR32.oligo129	1459	1459
UTR10.oligo101	697	697
UTR25.oligo27	1391	1391
UTR13.oligo242	1599	1599
UTR5.oligo29	1820	1820
UTR6.oligo240	293	293
UTR5.oligo244	1009	1009
UTR32.oligo97	791	791
UTR11.oligo341	1746	1746
UTR11.oligo230	481	481
UTR15.oligo27	1777	1777
UTR29.oligo325	1785	1785
UTR17.oligo47	1286	1286
UTR22.oligo63	509	509
UTR1.oligo88	502	502
UTR31.oligo85	1554	1554
UTR24.oligo21	1529	1529
UTR32.oligo95	1790	1790
UTR5.oligo129	966	966
UTR11.oligo169	1801	1801
UTR18.oligo146	1746	1746
UTR11.oligo205	1665	1665
UTR11.oligo313	341	341
UTR24.oligo65	763	763
UTR3.oligo481	823	823
UTR16.oligo111	1678	1678
UTR29.oligo274	1302	1302
UTR27.oligo239	1634	1634
UTR8.oligo7	1064	1064
UTR15.oligo210	1893	1893
UTR10.oligo119	748	748
UTR14.oligo76	1097	1097
UTR32.oligo113	1834	1834
UTR18.oligo29	1464	1464
UTR32.oligo86	938	938
UTR14.oligo50	1450	1450
UTR33.oligo0	1008	1008
UTR3.oligo209	587	587
UTR30.oligo32	1725	1725
UTR30.oligo249	1888	1888
UTR13.oligo23	780	780
UTR15.oligo286	1879	1879
UTR18.oligo106	1909	1909
UTR16.oligo19	1405	1405
UTR16.oligo223	1167	1167
UTR17.oligo255	1436	1436
UTR4.oligo159	779	779
UTR4.oligo220	1395	1395
UTR33.oligo27	445	445
UTR6.oligo30	976	976
UTR12.oligo229	255	255
UTR31.oligo249	1749	1749
UTR5.oligo240	1020	1020
UTR7.oligo28	1643	1643
UTR10.oligo126	1761	1761
UTR13.oligo250	974	974
UTR16.oligo317	982	982
UTR5.oligo58	566	566
UTR5.oligo61	1868	1868
UTR5.oligo122	1308	1308
UTR25.oligo59	700	700
UTR32.oligo80	1623	1623
UTR23.oligo23	1408	1408
UTR29.oligo297	1383	1383
UTR2.oligo425	1395	1395
UTR24.oligo89	707	707
UTR20.oligo16	775	775
UTR30.oligo142	1208	1208
UTR35.oligo124	1625	1625
UTR10.oligo139	458	458
UTR2.oligo327	1571	1571
UTR27.oligo260	846	846
UTR28.oligo51	841	841
UTR20.oligo68	1555	1555
UTR32.oligo21	1558	1558
UTR30.oligo194	943	943
UTR2.oligo426	968	968
UTR20.oligo4	1395	1395
UTR15.oligo40	1848	1848
UTR12.oligo69	1557	1557
UTR3.oligo295	1928	1928
UTR29.oligo271	474	474
UTR11.oligo168	1288	1288
UTR6.oligo76	1870	1870
UTR31.oligo105	481	481
UTR25.oligo295	1715	1715
UTR27.oligo391	1858	1858
UTR18.oligo184	284	284
UTR2.oligo13	474	474
UTR30.oligo340	1495	1495
UTR31.oligo0	1677	1677
UTR6.oligo97	1188	1188
UTR29.oligo232	1130	1130
UTR3.oligo80	1916	1916
UTR30.oligo65	1556	1556
UTR11.oligo152	1283	1283
UTR15.oligo209	589	589
UTR3.oligo36	1763	1763
UTR7.oligo115	1059	1059
UTR32.oligo161	1064	1064
UTR30.oligo445	441	441
UTR31.oligo144	689	689
UTR31.oligo115	878	878
UTR20.oligo26	493	493
UTR32.oligo162	1944	1944
UTR32.oligo131	1432	1432
UTR33.oligo83	1667	1667
UTR27.oligo356	1675	1675
UTR27.oligo290	1724	1724
UTR14.oligo15	1648	1648
UTR5.oligo38	1532	1532
UTR35.oligo163	1913	1913
UTR18.oligo6	1904	1904
UTR17.oligo135	1385	1385
UTR25.oligo244	1761	1761
UTR21.oligo117	1122	1122
UTR13.oligo4	1724	1724
UTR17.oligo179	1769	1769
UTR4.oligo12	1447	1447
UTR4.oligo54	234	234
UTR5.oligo13	508	508
UTR30.oligo119	1463	1463
UTR11.oligo223	991	991
UTR30.oligo285	1825	1824
UTR24.oligo195	1800	1800
UTR27.oligo309	1055	1055
UTR11.oligo419	795	795
UTR15.oligo202	1192	1192
UTR2.oligo134	971	971
UTR30.oligo354	1824	1824
UTR29.oligo323	238	238
UTR33.oligo128	900	900
UTR27.oligo156	813	813
UTR27.oligo460	1306	1306
UTR29.oligo257	1346	1346
UTR31.oligo208	1875	1875
UTR18.oligo460	1282	1282
UTR4.oligo107	1794	1794
UTR3.oligo159	654	654
UTR3.oligo276	1380	1380
UTR27.oligo29	1844	1844
UTR4.oligo17	829	829
UTR26.oligo71	1061	1061
UTR21.oligo173	1671	1671
UTR30.oligo202	1182	1182
UTR27.oligo443	1673	1673
UTR27.oligo37	1923	1923
UTR32.oligo150	1029	1029
UTR20.oligo51	823	823
UTR11.oligo321	1674	1674
UTR11.oligo337	553	553
UTR6.oligo315	1799	1799
UTR5.oligo47	1899	1899
UTR17.oligo163	1516	1516
UTR34.oligo194	1059	1059
UTR3.oligo438	1355	1355
UTR12.oligo244	742	742
UTR32.oligo158	1206	1206
UTR23.oligo58	864	864
UTR25.oligo80	1097	1097
UTR12.oligo139	1704	1704
UTR34.oligo124	1709	1709
UTR3.oligo311	528	528
UTR27.oligo295	1471	1471
UTR16.oligo330	1891	1891
UTR11.oligo187	1042	1042
UTR30.oligo367	825	825
UTR6.oligo20	189	189
UTR11.oligo5	1867	1867
UTR16.oligo54	1358	1358
UTR24.oligo329	536	536
UTR12.oligo245	1377	1377
UTR18.oligo70	1701	1701
UTR33.oligo51	1362	1362
UTR24.oligo202	1460	1460
UTR12.oligo343	647	647
UTR5.oligo126	766	766
UTR6.oligo158	1868	1868
UTR2.oligo53	524	524
UTR24.oligo213	1863	1863
UTR18.oligo204	586	586
UTR7.oligo47	1743	1743
UTR35.oligo120	1900	1900
UTR32.oligo96	1346	1346
UTR14.oligo53	901	901
UTR15.oligo7	1850	1850
UTR22.oligo117	537	537
UTR25.oligo298	1273	1273
UTR2.oligo406	1570	1570
UTR21.oligo57	1878	1878
UTR35.oligo205	1552	1552
UTR24.oligo376	1195	1195
UTR14.oligo46	538	538
UTR20.oligo8	1610	1610
UTR23.oligo22	896	896
UTR18.oligo152	1677	1677
UTR34.oligo152	1508	1508
UTR14.oligo213	856	856
UTR25.oligo184	1059	1059
UTR13.oligo161	401	401
UTR25.oligo375	1962	1962
UTR13.oligo265	683	683
UTR11.oligo161	1105	1105
UTR29.oligo191	1933	1933
UTR17.oligo298	1865	1865
UTR13.oligo68	1632	1632
UTR5.oligo169	1949	1949
UTR11.oligo27	253	253
UTR24.oligo331	753	753
UTR27.oligo220	912	912
UTR10.oligo178	1381	1381
UTR12.oligo178	1820	1820
UTR17.oligo65	675	675
UTR11.oligo209	1879	1879
UTR11.oligo77	557	557
UTR35.oligo236	1590	1590
UTR9.oligo8	1561	1561
UTR10.oligo26	1710	1710
UTR13.oligo173	1705	1705
UTR22.oligo103	1871	1871
UTR27.oligo299	1028	1028
UTR5.oligo411	1218	1218
UTR27.oligo130	1651	1651
UTR18.oligo462	1472	1472
UTR33.oligo260	563	563
UTR5.oligo141	165	165
UTR18.oligo94	1441	1441
UTR22.oligo60	1597	1597
UTR33.oligo107	1871	1871
UTR29.oligo263	844	844
UTR6.oligo349	1920	1920
UTR22.oligo41	1426	1426
UTR7.oligo89	1252	1252
UTR3.oligo417	1931	1931
UTR29.oligo7	949	949
UTR15.oligo114	1295	1295
UTR15.oligo79	1815	1815
UTR29.oligo345	1105	1105
UTR25.oligo8	837	837
UTR4.oligo48	1882	1882
UTR18.oligo285	1828	1828
UTR9.oligo16	501	501
UTR12.oligo132	1590	1590
UTR11.oligo128	987	987
UTR17.oligo10	1793	1793
UTR4.oligo80	1397	1397
UTR17.oligo201	1901	1901
UTR5.oligo65	1054	1054
UTR2.oligo351	1598	1598
UTR25.oligo307	365	365
UTR11.oligo401	907	907
UTR6.oligo228	1224	1224
UTR24.oligo266	1614	1614
UTR23.oligo101	854	854
UTR10.oligo11	1917	1917
UTR29.oligo100	1770	1770
UTR30.oligo105	970	970
UTR21.oligo29	865	865
UTR34.oligo16	656	656
UTR30.oligo419	1035	1035
UTR6.oligo330	1342	1342
UTR13.oligo64	1054	1054
UTR13.oligo181	255	255
UTR32.oligo55	1344	1344
UTR13.oligo96	1262	1262
UTR14.oligo38	1117	1117
UTR3.oligo257	405	405
UTR10.oligo3	1330	1330
UTR18.oligo38	1904	1904
UTR27.oligo227	1567	1567
UTR6.oligo252	1126	1126
UTR35.oligo67	1823	1823
UTR30.oligo188	1215	1215
UTR6.oligo365	1234	1234
UTR33.oligo21	483	483
UTR34.oligo108	1035	1035
UTR18.oligo181	1906	1906
UTR32.oligo178	1561	1561
UTR16.oligo251	1299	1299
UTR17.oligo85	728	728
UTR11.oligo248	1642	1642
UTR11.oligo31	1493	1493
UTR9.oligo69	1189	1189
UTR21.oligo115	1910	1910
UTR21.oligo84	1126	1126
UTR12.oligo123	777	777
UTR16.oligo216	1763	1763
UTR27.oligo25	1646	1646
UTR19.oligo57	607	607
UTR31.oligo262	1540	1540
UTR18.oligo452	1324	1324
UTR3.oligo336	1787	1787
UTR17.oligo164	1332	1332
UTR25.oligo56	1384	1384
UTR25.oligo6	412	412
UTR2.oligo310	1153	1153
UTR28.oligo228	1837	1837
UTR25.oligo16	1669	1669
UTR24.oligo172	1070	1070
UTR18.oligo220	839	839
UTR12.oligo216	1816	1816
UTR6.oligo403	662	662
UTR23.oligo3	1148	1148
UTR18.oligo476	1294	1294
UTR27.oligo178	1271	1271
UTR5.oligo368	1721	1721
UTR2.oligo380	1801	1801
UTR5.oligo384	1541	1541
UTR25.oligo221	1371	1371
UTR19.oligo9	811	811
UTR6.oligo382	1555	1555
UTR25.oligo183	777	777
UTR24.oligo12	294	294
UTR15.oligo184	1374	1374
UTR33.oligo135	759	759
UTR35.oligo70	1509	1509
UTR24.oligo191	1142	1142
UTR20.oligo7	1877	1877
UTR2.oligo315	1769	1769
UTR12.oligo249	1460	1460
UTR9.oligo62	1662	1662
UTR18.oligo258	1872	1872
UTR28.oligo237	767	767
UTR28.oligo100	500	500
UTR30.oligo469	1200	1200
UTR15.oligo125	1944	1944
UTR17.oligo243	1231	1231
UTR14.oligo45	1518	1518
UTR6.oligo333	1849	1849
UTR17.oligo225	1709	1709
UTR27.oligo122	881	881
UTR21.oligo101	1137	1137
UTR30.oligo20	326	326
UTR30.oligo313	1738	1738
UTR2.oligo223	1774	1774
UTR23.oligo53	207	207
UTR30.oligo112	1246	1246
UTR6.oligo221	961	961
UTR33.oligo197	877	877
UTR6.oligo8	1458	1458
UTR28.oligo176	1053	1053
UTR18.oligo51	1038	1038
UTR4.oligo35	1082	1082
UTR31.oligo229	1183	1183
UTR28.oligo105	1439	1439
UTR35.oligo232	315	315
UTR29.oligo157	1042	1042
UTR11.oligo46	666	666
UTR18.oligo183	1761	1761
UTR15.oligo145	958	958
UTR35.oligo176	1654	1654
UTR2.oligo229	1346	1346
UTR34.oligo120	1662	1662
UTR5.oligo294	1530	1530
UTR35.oligo295	1811	1811
UTR7.oligo26	1625	1625
UTR10.oligo34	1843	1843
UTR32.oligo183	1746	1746
UTR27.oligo45	1790	1790
UTR3.oligo208	1677	1677
UTR24.oligo227	1901	1901
UTR24.oligo391	1719	1719
UTR10.oligo36	1570	1570
UTR26.oligo107	1796	1796
UTR25.oligo129	1371	1371
UTR16.oligo279	1335	1335
UTR17.oligo78	1450	1450
UTR11.oligo58	1668	1668
UTR18.oligo231	502	502
UTR15.oligo126	1577	1577
UTR12.oligo103	1951	1951
UTR19.oligo138	1669	1669
UTR15.oligo168	1841	1841
UTR33.oligo153	1346	1346
UTR7.oligo54	1934	1934
UTR19.oligo88	911	911
UTR10.oligo105	1201	1201
UTR34.oligo211	1696	1696
UTR2.oligo138	1618	1618
UTR12.oligo54	1572	1572
UTR28.oligo224	773	773
UTR13.oligo235	1274	1274
UTR27.oligo21	431	431
UTR14.oligo182	1868	1868
UTR5.oligo77	1750	1750
UTR11.oligo92	905	905
UTR16.oligo5	1953	1953
UTR29.oligo198	1497	1497
UTR12.oligo102	1629	1629
UTR5.oligo407	1763	1763
UTR11.oligo299	1862	1862
UTR30.oligo94	1443	1443
UTR9.oligo39	1066	1066
UTR6.oligo259	206	206
UTR30.oligo358	1159	1159
UTR4.oligo64	978	978
UTR31.oligo23	1744	1744
UTR3.oligo131	1915	1915
UTR11.oligo219	1480	1480
UTR2.oligo302	1268	1268
UTR3.oligo238	1511	1511
UTR14.oligo9	1807	1807
UTR27.oligo349	426	426
UTR6.oligo408	1933	1933
UTR10.oligo272	1727	1727
UTR12.oligo199	1468	1468
UTR34.oligo72	1327	1327
UTR1.oligo70	787	787
UTR18.oligo188	461	461
UTR18.oligo426	670	670
UTR1.oligo82	1260	1260
UTR35.oligo128	1051	1051
UTR27.oligo134	1089	1089
UTR24.oligo394	1059	1059
UTR8.oligo40	1723	1723
UTR6.oligo130	1395	1395
UTR12.oligo166	1416	1416
UTR33.oligo220	1402	1402
UTR34.oligo250	594	594
UTR16.oligo321	1486	1486
UTR12.oligo79	1005	1005
UTR25.oligo381	1823	1823
UTR29.oligo355	1551	1551
UTR5.oligo193	1804	1804
UTR16.oligo30	1640	1640
UTR14.oligo86	1391	1391
UTR32.oligo146	349	349
UTR16.oligo352	183	183
UTR30.oligo109	1205	1205
UTR27.oligo434	1770	1770
UTR11.oligo53	645	645
UTR32.oligo180	1536	1536
UTR13.oligo39	1439	1439
UTR12.oligo292	1951	1951
UTR12.oligo186	1507	1507
UTR18.oligo64	629	629
UTR13.oligo118	1915	1915
UTR7.oligo138	1538	1538
UTR15.oligo250	1705	1705
UTR29.oligo370	215	215
UTR13.oligo275	1523	1523
UTR31.oligo237	1878	1878
UTR1.oligo27	927	927
UTR2.oligo265	1082	1082
UTR29.oligo220	1729	1729
UTR20.oligo52	748	748
UTR30.oligo228	1656	1656
UTR30.oligo422	1743	1743
UTR11.oligo180	1102	1102
UTR15.oligo198	1150	1150
UTR6.oligo191	1872	1872
UTR23.oligo98	1768	1768
UTR7.oligo14	1916	1916
UTR28.oligo179	1783	1783
UTR12.oligo161	1921	1921
UTR27.oligo254	1654	1654
UTR12.oligo99	1210	1210
UTR11.oligo158	1587	1587
UTR35.oligo257	1684	1684
UTR5.oligo288	1270	1270
UTR16.oligo25	1495	1495
UTR11.oligo417	501	501
UTR25.oligo252	887	887
UTR17.oligo250	1668	1668
UTR24.oligo192	1499	1499
UTR18.oligo77	1834	1834
UTR29.oligo324	1260	1260
UTR34.oligo2	1057	1057
UTR16.oligo423	695	695
UTR11.oligo411	1597	1597
UTR4.oligo231	1739	1739
UTR2.oligo116	920	920
UTR11.oligo131	919	919
UTR20.oligo75	853	853
UTR3.oligo168	780	780
UTR7.oligo39	1092	1092
UTR23.oligo13	1704	1704
UTR25.oligo98	1467	1467
UTR19.oligo13	396	396
UTR25.oligo66	1840	1840
UTR23.oligo91	1579	1579
UTR9.oligo19	1017	1017
UTR35.oligo273	1522	1522
UTR27.oligo459	447	447
UTR32.oligo87	1955	1955
UTR25.oligo296	726	726
UTR5.oligo201	688	688
UTR13.oligo222	1190	1190
UTR27.oligo163	1866	1866
UTR32.oligo115	417	417
UTR27.oligo353	1926	1926
UTR6.oligo183	1849	1849
UTR2.oligo437	1426	1426
UTR34.oligo5	892	892
UTR30.oligo175	1699	1699
UTR13.oligo203	1157	1157
UTR31.oligo31	988	988
UTR2.oligo122	1288	1288
UTR12.oligo246	1483	1483
UTR18.oligo276	1471	1471
UTR6.oligo89	910	910
UTR10.oligo82	946	946
UTR30.oligo266	1131	1131
UTR16.oligo119	1962	1962
UTR3.oligo232	844	844
UTR32.oligo33	1508	1508
UTR34.oligo140	783	783
UTR25.oligo106	1510	1510
UTR6.oligo189	1655	1655
UTR13.oligo30	1206	1206
UTR32.oligo168	1716	1716
UTR5.oligo97	564	564
UTR15.oligo178	680	680
UTR34.oligo247	1384	1384
UTR3.oligo329	202	202
UTR15.oligo150	1174	1174
UTR6.oligo157	1716	1716
UTR17.oligo227	530	530
UTR15.oligo162	1404	1404
UTR3.oligo327	1239	1239
UTR19.oligo144	1950	1950
UTR28.oligo170	1031	1031
UTR35.oligo302	1605	1605
UTR6.oligo311	403	403
UTR4.oligo188	656	656
UTR33.oligo244	1616	1616
UTR30.oligo221	1801	1801
UTR27.oligo267	1906	1906
UTR11.oligo284	1782	1782
UTR25.oligo258	674	674
UTR3.oligo155	1851	1851
UTR10.oligo180	1396	1396
UTR13.oligo123	1392	1392
UTR25.oligo250	1833	1833
UTR14.oligo35	1647	1647
UTR35.oligo169	1075	1075
UTR33.oligo3	1832	1832
UTR5.oligo276	292	292
UTR6.oligo351	1785	1785
UTR29.oligo20	1239	1239
UTR25.oligo310	1039	1039
UTR15.oligo159	1362	1362
UTR2.oligo412	1835	1835
UTR28.oligo220	1095	1095
UTR4.oligo167	1196	1196
UTR17.oligo125	1211	1211
UTR25.oligo278	863	863
UTR6.oligo393	887	887
UTR20.oligo77	1211	1211
UTR3.oligo25	931	931
UTR7.oligo111	1035	1035
UTR5.oligo196	1104	1104
UTR21.oligo83	1588	1588
UTR21.oligo113	1655	1655
UTR16.oligo104	1883	1883
UTR3.oligo4	1838	1838
UTR3.oligo149	846	846
UTR25.oligo144	1682	1682
UTR30.oligo459	1719	1719
UTR31.oligo234	1384	1384
UTR15.oligo46	1174	1174
UTR12.oligo314	1091	1091
UTR4.oligo168	961	961
UTR20.oligo78	1469	1469
UTR33.oligo198	1293	1293
UTR5.oligo170	330	330
UTR5.oligo87	1651	1651
UTR12.oligo120	1305	1305
UTR26.oligo79	1297	1297
UTR3.oligo463	1258	1258
UTR30.oligo79	212	212
UTR11.oligo165	744	744
UTR6.oligo409	1762	1762
UTR15.oligo180	599	599
UTR22.oligo52	1057	1057
UTR11.oligo57	1521	1521
UTR28.oligo25	1867	1867
UTR16.oligo82	666	666
UTR24.oligo318	1077	1077
UTR14.oligo226	1231	1231
UTR13.oligo152	1495	1495
UTR11.oligo354	1042	1042
UTR25.oligo367	952	952
UTR15.oligo245	1450	1450
UTR16.oligo398	1676	1676
UTR29.oligo66	928	928
UTR6.oligo62	1229	1229
UTR9.oligo0	1185	1185
UTR10.oligo135	1059	1059
UTR11.oligo73	909	909
UTR35.oligo155	819	819
UTR13.oligo142	1345	1345
UTR2.oligo267	1252	1252
UTR3.oligo346	1801	1801
UTR27.oligo410	1615	1615
UTR32.oligo91	1438	1438
UTR11.oligo220	1652	1652
UTR21.oligo80	1240	1240
