oligo	actualcounts	mappedcounts
UTR2.oligo298	820	820
UTR24.oligo322	1564	1564
UTR5.oligo230	1706	1706
UTR17.oligo146	1423	1423
UTR35.oligo315	1124	1124
UTR19.oligo149	1393	1393
UTR12.oligo167	1401	1401
UTR14.oligo30	1573	1573
UTR32.oligo18	1236	1236
UTR11.oligo95	1003	1003
UTR19.oligo65	1368	1368
UTR17.oligo76	1386	1386
UTR6.oligo253	1664	1664
UTR28.oligo134	596	596
UTR21.oligo75	1594	1594
UTR18.oligo248	1829	1829
UTR3.oligo348	620	620
UTR12.oligo94	1353	1353
UTR14.oligo41	1340	1340
UTR31.oligo168	1104	1104
UTR15.oligo103	1152	1152
UTR4.oligo191	1886	1886
UTR17.oligo139	1856	1856
UTR29.oligo35	1553	1553
UTR16.oligo45	1010	1010
UTR27.oligo155	1559	1559
UTR20.oligo38	1376	1376
UTR27.oligo421	1849	1849
UTR31.oligo185	975	975
UTR16.oligo16	976	976
UTR34.oligo226	1438	1438
UTR17.oligo200	1826	1826
UTR18.oligo129	1534	1534
UTR25.oligo362	1133	1133
UTR23.oligo5	393	393
UTR27.oligo138	1116	1116
UTR22.oligo121	1174	1174
UTR23.oligo137	297	297
UTR2.oligo235	456	456
UTR10.oligo127	1722	1722
UTR35.oligo314	1746	1746
UTR30.oligo181	835	835
UTR14.oligo37	883	883
UTR7.oligo8	1801	1801
UTR14.oligo90	1590	1590
UTR23.oligo20	673	673
UTR18.oligo119	1682	1682
UTR27.oligo68	1660	1660
UTR30.oligo91	986	986
UTR12.oligo355	1024	1024
UTR35.oligo161	1085	1085
UTR15.oligo43	1728	1728
UTR6.oligo251	1001	1001
UTR4.oligo97	1777	1777
UTR16.oligo7	988	988
UTR17.oligo188	757	757
UTR15.oligo29	1936	1936
UTR35.oligo254	1234	1234
UTR18.oligo122	434	434
UTR5.oligo147	1224	1224
UTR32.oligo10	1566	1566
UTR12.oligo283	1703	1703
UTR23.oligo17	1645	1645
UTR24.oligo324	1719	1719
UTR10.oligo74	693	693
UTR12.oligo43	1824	1824
UTR3.oligo475	1935	1935
UTR27.oligo16	1173	1173
UTR27.oligo303	518	518
UTR27.oligo217	1038	1038
UTR24.oligo57	1157	1157
UTR26.oligo100	1785	1785
UTR30.oligo264	1017	1017
UTR22.oligo27	1724	1724
UTR24.oligo139	1818	1818
UTR18.oligo135	1933	1933
UTR21.oligo118	210	210
UTR5.oligo265	1896	1896
UTR30.oligo180	1218	1218
UTR21.oligo35	1122	1122
UTR35.oligo317	861	861
UTR25.oligo116	1876	1876
UTR30.oligo25	1867	1867
UTR12.oligo227	1339	1339
UTR23.oligo45	1575	1575
UTR29.oligo136	1664	1664
UTR10.oligo52	1528	1528
UTR4.oligo175	1127	1127
UTR2.oligo164	1126	1126
UTR34.oligo158	1554	1554
UTR3.oligo69	1246	1246
UTR30.oligo218	420	420
UTR26.oligo11	1428	1428
UTR2.oligo217	1071	1071
UTR30.oligo385	1303	1303
UTR19.oligo145	1311	1311
UTR33.oligo225	1628	1628
UTR16.oligo392	1530	1530
UTR28.oligo195	1667	1667
UTR6.oligo211	1598	1598
UTR30.oligo261	523	523
UTR4.oligo33	1852	1852
UTR31.oligo75	1372	1372
UTR23.oligo48	1337	1337
UTR24.oligo110	1875	1875
UTR27.oligo452	987	987
UTR27.oligo324	1648	1648
UTR30.oligo284	1773	1650
UTR30.oligo437	1552	1675
UTR30.oligo225	1633	1633
UTR28.oligo128	1606	1606
UTR11.oligo106	1660	1660
UTR26.oligo31	258	258
UTR15.oligo183	1257	1257
UTR30.oligo281	389	883
UTR6.oligo121	916	916
UTR12.oligo259	364	364
UTR6.oligo72	1509	1509
UTR24.oligo212	1009	1009
UTR11.oligo444	1676	1676
UTR14.oligo65	489	489
UTR19.oligo2	378	378
UTR18.oligo415	1391	1391
UTR24.oligo401	541	541
UTR30.oligo439	920	920
UTR30.oligo369	1636	1636
UTR21.oligo104	1810	1810
UTR13.oligo200	1878	1878
UTR2.oligo182	148	148
UTR15.oligo232	430	430
UTR31.oligo320	600	600
UTR24.oligo265	1435	1435
UTR14.oligo117	1823	1823
UTR3.oligo64	1650	1650
UTR14.oligo48	447	447
UTR31.oligo71	771	771
UTR20.oligo14	1418	1418
UTR6.oligo232	894	894
UTR15.oligo153	1246	1246
UTR27.oligo338	1555	1555
UTR28.oligo124	1300	1300
UTR13.oligo144	1360	1360
UTR33.oligo80	1948	1948
UTR27.oligo304	1557	1557
UTR29.oligo268	526	526
UTR6.oligo112	1475	1475
UTR12.oligo25	1955	1955
UTR3.oligo374	932	932
UTR27.oligo444	1476	1476
UTR19.oligo28	1641	1641
UTR29.oligo298	1906	1906
UTR29.oligo195	662	662
UTR31.oligo298	807	807
UTR6.oligo193	1044	1044
