oligo	actualcounts	mappedcounts
UTR1.oligo266	1909	1909
UTR5.oligo144	1444	1444
UTR4.oligo518	1352	1352
UTR6.oligo86	1599	1599
UTR13.oligo260	1075	1075
UTR2.oligo63	1829	1829
UTR5.oligo25	1013	1013
UTR2.oligo68	867	867
UTR13.oligo489	1357	1357
UTR14.oligo297	1173	1173
UTR17.oligo887	1431	1431
UTR15.oligo176	1778	1778
UTR4.oligo143	1494	1494
UTR1.oligo837	752	752
UTR6.oligo541	1901	1901
UTR12.oligo81	1710	1710
UTR6.oligo198	1585	1585
UTR16.oligo631	1114	1114
UTR12.oligo192	830	830
UTR15.oligo435	1670	1670
UTR11.oligo86	108	108
UTR13.oligo383	1524	1524
UTR6.oligo558	1345	1345
UTR1.oligo323	1685	1685
UTR9.oligo116	1036	1036
UTR15.oligo752	1780	1780
UTR11.oligo0	1433	1433
UTR12.oligo780	440	440
UTR15.oligo329	1522	1522
UTR3.oligo563	1762	1762
UTR12.oligo248	1812	1812
UTR9.oligo163	1797	1797
UTR9.oligo69	1874	1874
UTR2.oligo3	1160	1160
UTR9.oligo83	1290	1290
UTR3.oligo418	1893	1893
UTR4.oligo234	1088	1088
UTR16.oligo283	199	199
UTR4.oligo892	1018	1018
UTR15.oligo633	763	763
UTR17.oligo382	859	859
UTR9.oligo468	988	988
UTR3.oligo313	1522	1522
UTR13.oligo295	1851	1851
UTR7.oligo530	1614	1614
UTR17.oligo590	1511	1511
UTR17.oligo235	1753	1753
UTR7.oligo577	1128	1128
UTR7.oligo506	1678	1678
UTR6.oligo358	1469	1469
UTR13.oligo458	495	495
UTR15.oligo175	1708	1708
UTR3.oligo273	1117	1117
UTR4.oligo443	1462	1462
UTR17.oligo84	1292	1292
UTR17.oligo240	1614	1614
UTR17.oligo280	1305	1305
UTR17.oligo125	1875	1875
UTR1.oligo213	599	599
UTR14.oligo392	1154	1154
UTR9.oligo172	1196	1196
UTR12.oligo380	1480	1480
UTR16.oligo240	1820	1820
UTR16.oligo281	1439	1439
UTR7.oligo44	664	664
UTR17.oligo474	1079	1079
UTR1.oligo883	960	960
UTR6.oligo33	1362	1362
UTR10.oligo425	1072	1072
UTR9.oligo565	1811	1811
UTR6.oligo296	1014	1014
UTR15.oligo490	1076	1076
UTR17.oligo436	1419	1419
UTR17.oligo252	1248	1248
UTR10.oligo127	1382	1382
UTR14.oligo264	1836	1836
UTR1.oligo402	805	805
UTR9.oligo77	356	356
UTR1.oligo225	1638	1638
UTR12.oligo75	1151	1151
UTR17.oligo68	1634	1634
UTR3.oligo604	1227	1227
UTR7.oligo289	864	864
UTR2.oligo116	228	228
UTR17.oligo598	746	746
UTR4.oligo306	1216	1216
UTR10.oligo24	1217	1217
UTR10.oligo7	1567	1567
UTR13.oligo329	1277	1277
UTR5.oligo27	1769	1769
UTR6.oligo63	1433	1433
UTR16.oligo649	1588	1588
UTR15.oligo231	1452	1452
UTR15.oligo608	1599	1599
UTR2.oligo72	1909	1909
UTR16.oligo597	1061	1061
UTR4.oligo444	1444	1444
UTR9.oligo561	1620	1620
UTR9.oligo197	921	921
UTR16.oligo212	1416	1416
UTR13.oligo110	1569	1569
UTR14.oligo399	669	669
UTR7.oligo14	623	623
UTR4.oligo261	1822	1822
UTR15.oligo920	680	680
UTR9.oligo263	1112	1112
UTR1.oligo759	1878	1878
UTR3.oligo12	1898	1898
UTR11.oligo177	1729	1729
UTR3.oligo500	1367	1367
UTR16.oligo368	1517	1517
UTR14.oligo412	1158	1158
UTR7.oligo635	1923	1923
UTR2.oligo80	1028	1028
UTR1.oligo151	782	782
UTR2.oligo121	1782	1782
UTR1.oligo445	1542	1542
UTR17.oligo650	1341	1341
UTR3.oligo280	1854	1854
UTR1.oligo355	1673	1673
UTR11.oligo79	1865	1865
UTR17.oligo32	1618	1618
UTR12.oligo371	1750	1750
UTR3.oligo486	1911	1911
UTR1.oligo661	766	766
UTR11.oligo116	1228	1228
UTR16.oligo675	1600	1600
UTR17.oligo370	591	591
UTR4.oligo724	1254	1254
UTR10.oligo380	1832	1832
UTR1.oligo692	1360	1360
UTR4.oligo898	1804	1804
UTR8.oligo88	1488	1488
UTR7.oligo500	1638	1638
UTR15.oligo37	1924	1924
UTR6.oligo495	1522	1522
UTR17.oligo310	1897	1897
UTR10.oligo391	1020	1020
UTR5.oligo23	567	567
UTR15.oligo553	1080	1080
UTR10.oligo144	1349	1349
UTR15.oligo922	1524	1524
UTR15.oligo539	1141	1141
UTR12.oligo4	1471	1471
